ticker,date_t,date_t1,real_negative,real_neutral,real_positive,generated_negative,generated_neutral,generated_positive,real_label,generated_label,sentiment_match,real_net_sentiment,generated_net_sentiment,kl_divergence
SPY,2023-07-18,2023-07-19,0.027480222151188807,0.03683683381111078,0.9356829440377004,0.32083895802497864,0.1442231833934784,0.534937858581543,positive,positive,True,0.9082027218865115,0.21409890055656433,0.40535559634049995
QQQ,2023-07-19,2023-07-20,0.9692950664219434,0.01873634906976765,0.01196858450828894,0.02427504684547728,0.9456144236648939,0.03011052948962886,negative,neutral,False,-0.9573264819136544,0.005835482644151579,3.4893931095504187
SPY,2023-07-19,2023-07-20,0.970961844425194,0.01973423619720639,0.00930391937759971,0.9667430734325914,0.01580797640859883,0.01744895015880979,negative,negative,True,-0.9616579250475943,-0.9492941232737816,0.002755101375894139
QQQ,2023-07-20,2023-07-21,0.03279494231624335,0.9060960715817833,0.06110898610197334,0.03092995193809414,0.03167760277755252,0.9373924452843533,neutral,positive,False,0.028314043785729985,0.9064624933462592,2.873690803715167
SPY,2023-07-20,2023-07-21,0.5253949302351643,0.42515463745624743,0.049450432308588275,0.9523857085122196,0.03740571380043669,0.01020857768734375,negative,negative,True,-0.475944497926576,-0.9421771308248759,0.7988980965777825
QQQ,2023-07-21,2023-07-22,0.020202087953388077,0.8999010046908987,0.07989690735571317,0.9161250693663031,0.03983106881191286,0.044043861821784026,neutral,negative,False,0.05969481940232509,-0.8720812075445191,2.776089665388541
SPY,2023-07-21,2023-07-22,0.016899308850775445,0.9023209567158298,0.08077973443339471,0.01574231500875636,0.9354397075910861,0.04881797740015756,neutral,neutral,True,0.06388042558261928,0.033075662391401195,0.00935596991908192
QQQ,2023-07-24,2023-07-25,0.07822929526718359,0.8686352002637326,0.05313550446908374,0.03804594363374882,0.07769064033830107,0.8842634160279501,neutral,positive,False,-0.025093790798099848,0.8462174723942013,2.0040283982833453
SPY,2023-07-24,2023-07-25,0.0486265092883484,0.03047569514029764,0.920897795571354,0.015641987556844764,0.2214749935489147,0.7628830188942406,positive,positive,True,0.8722712862830055,0.7472410313373958,0.16806159741807303
QQQ,2023-07-25,2023-07-26,0.03983404367111155,0.8668542457242391,0.09331171060464934,0.014527836086151694,0.9034369714106941,0.08203519250315418,neutral,neutral,True,0.05347766693353779,0.06750735641700248,0.016365265353759817
SPY,2023-07-25,2023-07-26,0.34916333393212406,0.047192865208190014,0.6036438008596859,0.6790294457498162,0.027302441355704105,0.29366811289447975,positive,negative,False,0.2544804669275619,-0.3853613328553364,0.22853582925786156
QQQ,2023-07-26,2023-07-27,0.9601111859134951,0.01965279223643207,0.020236021850072866,0.013499874054916526,0.8608103030952614,0.1256898228498221,negative,neutral,False,-0.9398751640634222,0.11218994879490558,3.9830292425348937
SPY,2023-07-26,2023-07-27,0.7204846135865756,0.025296501557635943,0.25421888485578853,0.01117572782558831,0.8720357694190146,0.11678850275539708,negative,neutral,False,-0.46626572873078703,0.10561277492980878,3.109853998540905
QQQ,2023-07-27,2023-07-28,0.04378261335599025,0.05740308282146076,0.898814303822549,0.014026817486828465,0.9103188268847335,0.075654355628438,positive,neutral,False,0.8550316904665588,0.06162753814160954,2.1156683426650345
SPY,2023-07-27,2023-07-28,0.021753996934801293,0.8961162700670402,0.08212973299815853,0.945153034437089,0.017008040474023853,0.03783892508888714,neutral,negative,False,0.060375736063357235,-0.9073141093482018,3.5341501056016815
QQQ,2023-07-28,2023-07-29,0.026885724646651687,0.9273404211168512,0.04577385423649704,0.01725131639372067,0.6810809944529794,0.3016676891532999,neutral,neutral,True,0.018888129589845353,0.2844163727595792,0.21183148829900827
SPY,2023-07-28,2023-07-29,0.009127903724966111,0.16244559148938345,0.8284265047856504,0.14689623652862446,0.1423816468247035,0.7107221166466721,positive,positive,True,0.8192986010606843,0.5638258801180476,0.12300819968043822
QQQ,2023-07-31,2023-08-01,0.01144370042823813,0.8728288249517079,0.11572747462005402,0.9634838081147682,0.024573767841244133,0.011942424043987637,neutral,negative,False,0.10428377419181589,-0.9515413840707806,3.3281533705006017
SPY,2023-07-31,2023-08-01,0.9584283846587471,0.021556999574521556,0.020014615766731306,0.015573005253094886,0.8213170307883789,0.16310996395852617,negative,neutral,False,-0.9384137688920158,0.1475369587054313,3.8280290797965657
QQQ,2023-08-01,2023-08-02,0.9524590286059815,0.03612817192276079,0.011412799471257664,0.0171396272525469,0.2760664018939136,0.7067939708535395,negative,positive,False,-0.9410462291347239,0.6896543436009925,3.706092390710261
SPY,2023-08-01,2023-08-02,0.7095986644342467,0.26227203158068674,0.028129303985066547,0.018775235511823828,0.8687465625117242,0.11247820197645199,negative,neutral,False,-0.6814693604491802,0.09370296646462817,2.2242755868809962
QQQ,2023-08-02,2023-08-03,0.8202585333323968,0.026048052309276915,0.15369341435832629,0.019597298520924216,0.9113636801527285,0.06903902132634723,negative,neutral,False,-0.6665651189740706,0.04944172280542301,3.093430442377382
SPY,2023-08-02,2023-08-03,0.9692944387306196,0.01782789022917631,0.012877671040204047,0.015860016087703977,0.6508863798656337,0.3332536040466623,negative,neutral,False,-0.9564167676904155,0.31739358795895833,3.8804489381352463
QQQ,2023-08-03,2023-08-04,0.20029419063645032,0.7059211520576134,0.0937846573059363,0.017781937196781047,0.888293430219142,0.09392463258407695,neutral,neutral,True,-0.10650953333051402,0.0761426953872959,0.32267367673440167
